Name,RA,Dec,Mag,z,Comment
39627848780090931,14:31:37.50,02:24:42.50,(R=17.59),0.006,log(oiii5007)=-13.6
39627775753063070,12:20:30.35,-00:27:03.12,(R=17.67),0.007,log(oiii5007)=-13.4
39627849056916629,15:37:46.50,02:34:25.72,(R=17.81),0.006,log(oiii5007)=-13.4
39627974852480575,13:14:20.42,07:46:35.07,(R=18.07),0.02,log(oiii5007)=-13.6
39627708434484707,08:49:17.25,-03:10:02.17,(R=18.42),0.026,log(oiii5007)=-13.7
39627884981128555,14:29:44.53,04:06:50.37,(R=18.79),0.008,log(oiii5007)=-13.5
39627781927078884,12:52:33.80,-00:10:03.27,(R=18.83),0.003,log(oiii5007)=-13.3
39627763912544115,13:17:41.91,-01:00:02.01,(R=18.84),0.004,log(oiii5007)=-13.7
39627832363582986,21:17:08.29,01:48:13.65,(R=18.94),0.023,log(oiii5007)=-13.8
39627876009515081,02:47:58.01,03:50:25.09,(R=19.00),0.003,log(oiii5007)=-13.5
39627673546262944,13:56:47.67,-04:41:14.83,(R=19.30),0.01,log(oiii5007)=-13.7
39627896234445067,11:17:29.16,04:36:41.76,(R=19.32),0.006,log(oiii5007)=-13.6
2706139288436736,13:16:23.17,-02:00:49.74,(R=19.34),0.013,log(oiii5007)=-13.9
39627838319496035,20:57:20.46,02:06:33.91,(R=19.50),0.061,log(oiii5007)=-13.7
39627757734333522,12:44:44.94,-01:08:54.75,(R=19.58),0.016,log(oiii5007)=-13.3
39627841343589611,08:58:40.95,02:11:48.47,(R=19.61),0.008,log(oiii5007)=-13.1
39627818174254064,12:54:40.59,01:19:25.91,(R=19.63),0.082,log(oiii5007)=-13.7
39627945395885374,15:24:07.25,06:26:06.66,(R=19.65),0.013,log(oiii5007)=-13.3
39627726738426677,09:34:34.79,-02:31:56.52,(R=19.66),0.018,log(oiii5007)=-13.5
39627601517479958,14:16:34.31,-07:37:44.40,(R=19.70),0.04,log(oiii5007)=-13.6
39627926706061620,12:45:13.65,05:52:21.82,(R=19.83),0.049,log(oiii5007)=-13.4
2706193835360256,14:01:33.00,00:16:55.21,(R=19.94),0.026,log(oiii5007)=-14.0
2706210901983232,09:50:16.05,00:54:06.86,(R=20.11),0.02,log(oiii5007)=-14.0
39627655498177307,14:01:30.24,-05:36:01.31,(R=20.31),0.027,log(oiii5007)=-13.7
2706107944402944,08:42:14.79,-03:11:55.21,(R=20.35),0.033,log(oiii5007)=-13.9
39627860868074420,14:33:34.73,02:57:07.74,(R=20.44),0.042,log(oiii5007)=-14.0
2706174780637184,10:18:48.67,-00:23:52.40,(R=20.45),0.036,log(oiii5007)=-13.8
2389515943542784,12:20:30.27,-00:26:56.51,(R=20.71),0.007,log(oiii5007)=-13.3
2715031447797762,11:00:59.63,01:56:43.21,(R=20.79),0.058,log(oiii5007)=-14.1
